,,,,,,,,,
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,4857.4,  CD,(9-), ,"   226.6 2 
   475.7 4 
   935.6 4 ","  100 10 
   80 10 
   24 4 ","

","  4631.6
  4382.8
  3922.8","(8-)
(8-)
(7)-"
,  5213.0 10 ?,A   ,"(2,3,4)", ,  3286.7 10 ?,100,,1926.28,(3-)
,  5223.2 10 ?,A   ,"(2,3,4)", ,  3296.9 10 ?,100,,1926.28,(3-)
,  5267.3 10 ?,A   ,"(2,3,4)", ,  3341.0 10 ?,100,,1926.28,(3-)
,  5289.1 4 ,A   ,"(2,3,4)", ,"  2317.1 5 
  2684.9 6 ","  100 11 
   81 7 ","
","  2972.07
  2603.94","(5-)
(4-)"
,  5312.9 10 ?,A   ,"(2,3,4)", ,  3386.6 10 ?,100,,1926.28,(3-)
,  5402.4 8 ?,A   ,"(2,3,4)", ,  2798.4 7 ?,100,,2603.94,(4-)
,  5735.4 10 ?,A   ,"(2,3,4)", ,  3809.0 10 ?,100,,1926.28,(3-)
,5739.7,  CD,"(10+,11-)", ,   882.2 4 ,100,,4857.4,(9-)
,  5828.2 9 ?,A   ,"(2,3,4)", ,"  3224.9 15 ?
  3681.8 10 ?","    9E+1 4 
  100","
","  2603.94
  2146.00","(4-)
4+"
,  5831.1 5 ?,A   ,"(2,3,4)", ,  4994.0 5 ?,100,,836.9,2+
,  6063.7 10 ?,A   ,"(2,3,4)", ,  3917.6 10 ?,100,,2146.00,4+
